IN_C,IN_H,IN_W,OUT_C,IN_C,KERNEL_H,KERNEL_N,STRIDE_H,STRIDE_W,PAD_H,PAD_W,ACT,NCHW->NCHW,NCHW->NHWC,NHWC->NCHW,NHWC->NHWC
3,224,224,64,3,3,3,1,1,1,1,relu,0.09301333129405975,0.2081792026758194,0.09588053822517395,0.2096981391310692
64,224,224,64,64,3,3,1,1,1,1,relu,0.14917973577976226,0.17904639691114427,0.15609172880649566,0.15547732561826705
64,112,112,128,64,3,3,1,1,1,1,relu,0.09144320040941238,0.1113770693540573,0.1004714623093605,0.08710827082395553
128,112,112,128,128,3,3,1,1,1,1,relu,0.09719466865062713,0.1162069320678711,0.10163199827075005,0.11618986651301384
128,56,56,256,128,3,3,1,1,1,1,relu,0.08465066403150559,0.08378026559948921,0.08867840245366096,0.08782506734132767
256,56,56,256,256,3,3,1,1,1,1,relu,0.10540372878313065,0.10497706681489945,0.10990933254361153,0.10973866656422615
256,28,28,512,256,3,3,1,1,1,1,relu,0.07983786463737488,0.07937706634402275,0.0844458632171154,0.08381439670920372
512,28,28,512,512,3,3,1,1,1,1,relu,0.19087361246347428,0.10917546600103378,0.11427840292453766,0.11388587132096291
512,14,14,512,512,3,3,1,1,1,1,relu,0.09622187316417694,0.10460160225629807,0.1001813292503357,0.1090901292860508
